id,y,pred
1,2,2
2,0,0
3,1,1
4,1,1
5,1,1
6,2,2
7,2,2
8,4,4
9,4,4
10,4,4
11,0,0
12,2,2
13,4,4
14,2,2
15,2,2
16,1,1
17,0,0
18,4,4
19,0,0
20,0,0
21,2,2
22,1,1
23,4,4
24,2,2
25,4,4
26,0,0
27,3,3
28,2,2
29,0,0
30,1,1
31,1,1
32,0,0
33,1,1
34,3,3
35,4,4
36,2,2
37,4,4
38,4,4
39,0,0
40,0,0
41,0,0
42,3,3
43,1,1
44,1,1
45,0,0
46,1,1
47,1,1
48,4,4
49,2,2
50,3,3
51,1,1
52,2,2
53,2,2
54,1,1
55,3,3
56,1,1
57,2,2
58,0,0
59,3,3
60,1,1
61,2,2
62,3,3
63,3,3
64,4,4
65,2,2
66,4,4
67,2,2
68,2,2
69,3,3
70,2,2
71,0,0
72,0,0
73,0,0
74,1,1
75,1,1
76,3,3
77,0,0
78,0,0
79,2,2
80,2,2
81,3,3
82,1,1
83,2,2
84,2,2
85,3,3
86,0,0
87,1,1
88,4,4
89,4,4
90,1,1
91,0,0
92,0,0
93,1,1
94,0,0
95,3,3
96,4,4
97,3,3
98,3,3
99,0,0
100,4,4
101,4,4
102,3,3
103,4,4
104,2,2
105,1,1
106,4,4
107,0,0
108,0,0
109,4,4
110,1,1
111,0,0
112,2,2
113,3,3
114,4,4
115,0,0
116,4,4
117,4,4
118,1,1
119,4,4
120,3,3
121,2,2
122,0,0
123,3,3
124,4,4
125,2,2
126,1,1
127,2,2
128,2,2
129,0,0
130,3,3
131,3,3
132,3,3
133,1,1
134,3,3
135,2,2
136,1,1
137,0,0
138,3,3
139,0,0
140,0,0
141,0,0
142,2,2
143,1,1
144,4,4
145,2,2
146,2,2
147,1,1
148,3,3
149,1,1
150,0,0
151,4,4
152,4,4
153,3,3
154,2,2
155,3,3
156,3,3
157,4,4
158,2,2
159,1,1
160,1,1
161,1,1
162,1,1
163,4,4
164,0,0
165,4,4
166,2,2
167,2,2
168,2,2
169,3,3
170,1,1
171,0,0
172,3,3
173,1,1
174,1,1
175,4,4
176,0,0
177,0,0
178,1,1
179,0,0
180,3,3
181,3,3
182,0,0
183,2,2
184,2,2
185,4,4
186,1,1
187,0,0
188,3,3
189,0,0
190,0,0
191,0,0
192,2,2
193,2,2
194,4,4
195,1,1
196,3,3
197,1,1
198,1,1
199,0,0
200,0,0
201,0,0
202,3,3
203,4,4
204,0,0
205,2,2
206,2,2
207,4,4
208,4,4
209,3,3
210,2,2
211,1,1
212,4,4
213,3,3
214,4,4
215,3,3
216,1,1
217,1,1
218,2,2
219,0,0
220,3,3
221,4,4
222,1,1
223,2,2
224,0,0
225,2,2
226,2,2
227,1,1
228,2,2
229,3,3
230,0,0
231,3,3
232,2,2
233,3,3
234,1,1
235,0,0
236,4,4
237,0,0
238,2,2
239,4,4
240,3,3
241,1,1
242,1,1
243,4,4
244,1,1
245,0,0
246,0,0
247,4,4
248,4,4
249,0,0
250,4,4
251,3,3
252,1,1
253,0,0
