distance,height,landings,number,pack,age,usage,region,weight,item,volume,width,max,power,size,target
7016,4288.3573,0.27260256020081053,-1.3907704315316392,-1.3320926040873802,32525.2395,42379.55082,RE-5,2946,IT-13,56681,29190.362999999998,3034,14164,907,-8.165592381333878
5223,3779.5255,0.2049722573423025,-0.8682158094894848,-0.7201963401038018,28655.7217,34146.26994,RE-0,3162,IT-B,21137,34778.458,478,13643,1437,-21.34868582641278
5621,3373.0807,-1.403765324470691,-0.7272351240155871,0.14382692473873143,30524.5671,32143.32303,RE-F,4177,IT-B,43742,33284.777,9876,15001,1190,-26.01342882425531
2079,12604.1424,-1.5141953014127276,0.06927403081818106,-0.11071919402269192,43109.4366,22653.88045,RE-B,2476,IT-0,66635,23178.492000000002,5539,16054,1296,-20.79598432014282
1995,18608.0976,-1.0457650198856678,1.6944666215923347,1.0367989986601769,33459.4053,49884.72107,RE-9,905,IT-0,38405,25871.362999999998,13874,19105,803,-21.3650678271279
4463,3611.2382,1.3180998978816947,1.120118602390822,0.0013378694850719572,29235.8011,32405.793719999998,RE-1,3583,IT-3,54682,30307.429,27650,12803,1339,-10.866995402729227
4121,1387.9591,-0.811735091182615,-0.690414292289079,-2.291154727857248,28378.8506,17456.114169999997,RE-0,757,IT-12,44874,29228.447,31558,12568,1029,-17.973489809641237
6932,1419.9883,0.7202922875704381,-0.3496669938555746,-1.76779436713542,16457.429,40317.21147,RE-0,3453,IT-0,71888,18320.013,15867,7155,1422,-21.34408548596829
2934,7264.8722,0.7331285602119358,1.6216806824101642,-0.42186737436341515,47374.5163,16084.3149,RE-2,1315,IT-F,26724,26209.163500000002,2043,12560,1158,-36.63469673556122
6457,8245.3336,0.07271849064761671,0.587255396615882,-1.4110585273045566,35670.1034,39425.13801,RE-11,4375,IT-0,43079,20164.27,18178,16549,1747,13.215100829504545
3538,6810.4909,0.5936932950452238,-0.040465483362951096,-0.21338743011776817,15036.5343,31939.2635,RE-9,3523,IT-11,61074,26209.163500000002,24271,14340,1287,-26.114846508846327
4220,5174.1181,1.646011834402162,-1.7415233790062479,-0.7766176816832137,31952.9862,28996.55304,RE-2,4081,IT-C,18195,20801.314,8630,11631,1668,-2.9635977751034237
3880,6087.8133,0.05096242622068682,1.7047641824932032,-1.1948583051012263,33642.7924,45961.08692,RE-5,946,IT-12,63785,31741.542,27840,16539,1302,39.96104487756261
6198,5946.0008,-0.8590248833433552,-0.6449311545980176,1.7811227076682823,34222.413,30045.73805,RE-1,2291,IT-B,46970,16923.775,26202,17732,1268,-125.35317700657863
4196,2775.1451,0.8191770987000848,0.08382278123330865,-0.40504979085481163,45245.674000000006,28012.536460000003,RE-9,3998,IT-8,67087,37514.074,30488,7470,1285,-2.048353847414464
3302,17635.0669,-1.3393599729835541,-0.16913843563975592,0.7812051573618348,47970.8062,27288.46758,RE-10,2536,IT-10,61122,24855.238999999998,17560,12578,1496,12.016311450020778
6369,15602.9341,-0.5433001603442204,1.3184674089934196,0.19723624228490935,49742.0697,24308.747030000002,RE-8,3113,IT-9,25590,27806.327,27421,8531,1150,-23.559896463503488
5449,2404.9833,-1.7003917929169856,-1.113206317160334,0.9449993836941166,50513.4697,39480.6263,RE-6,1969,IT-3,6866,19479.881999999998,31652,7009,1375,-50.04971048325461
4700,15277.979,-0.25117881736499725,0.8977212673304621,-0.20956404482955365,48466.9494,12819.46649,RE-1,4360,IT-2,38286,27608.405,16598,11002,1336,-20.455128963532893
5778,16260.8649,-1.23384154367386,-0.5100560395039132,-0.03263788306723344,43988.4625,25377.852590000002,RE-B,4518,IT-E,37406,30234.956000000002,18073,23120,1629,32.7067145574303
4075,10375.362,-0.2274838628913195,-1.2263841896409473,0.08532240400381574,42840.3397,31829.998560000004,RE-4,3299,IT-E,64614,32627.418999999998,6370,16791,1707,48.58377796374014
3529,2522.0625,-0.9815691819231489,0.7221559328029947,-0.7123240320571057,47723.5363,38378.88499,RE-10,3624,IT-1,55500,30119.947999999997,2428,16196,1438,-3.9923702692691823
5951,13638.6865,1.1678690511627434,0.7916565515677026,-0.4477539100036184,28428.4824,24378.53364,RE-B,4398,IT-8,34511,26553.53,21354,15191,819,-20.35952249584735
5967,8445.7701,0.6251860807358721,-0.372122153907978,-0.9477325621936697,31265.4876,16527.56011,RE-B,4614,IT-E,56194,27916.821,14568,13133,1071,-10.925120698485568
6946,12195.0583,-0.0500399247129666,0.6612169772806503,0.17717443153534382,30757.5382,29900.81582,RE-E,3141,IT-E,51390,27211.417999999998,28723,10901,1745,234.53007812913276
5222,10251.6401,0.9803195501707823,-1.1483473045426427,1.9938110556458462,29509.3322,35549.10915,RE-B,4702,IT-11,40843,27097.886000000002,3341,19833,1141,-9.960090413106325
