id,distance,height,landings,number,pack,age,usage,weight,item,volume,width,max,power,size,target,density,region-RE-0,region-RE-1,region-RE-10,region-RE-11,region-RE-2,region-RE-3,region-RE-4,region-RE-5,region-RE-6,region-RE-7,region-RE-8,region-RE-9,region-RE-A,region-RE-B,region-RE-C,region-RE-D,region-RE-E,region-RE-F
1,7016,4288.3573,25529.904280000002,7249.94628,25903.6888,32525.2395,42379.55082,2946,5,56681,29190.362999999998,3034,14164,907,-8.165592381333878,0.05197508865404633,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,5223,3779.5255,24691.88173,16324.98544,33541.2187,28655.7217,34146.26994,3162,15,21137,34778.458,478,13643,1437,-21.34868582641278,0.1495954960495813,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5621,3373.0807,4757.64643,18773.35196,44325.7322,30524.5671,32143.32303,4177,15,43742,33284.777,9876,15001,1190,-26.01342882425531,0.09549174706231997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2079,12604.1424,3389.2833299999998,32606.07196,41148.5538,43109.4366,22653.88045,2476,0,66635,23178.492000000002,5539,16054,1296,-20.79598432014282,0.03715764988369476,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,1995,18608.0976,9193.710079999999,60830.27242,55471.5772,33459.4053,49884.72107,905,0,38405,25871.362999999998,13874,19105,803,-21.3650678271279,0.02356464002083062,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,4463,3611.2382,38484.9009,50855.753880000004,42547.2209,29235.8011,32405.793719999998,3583,7,54682,30307.429,27650,12803,1339,-10.866995402729227,0.06552430415858966,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4121,1387.9591,12093.62845,19412.80758,13932.925,28378.8506,17456.114169999997,757,4,44874,29228.447,31558,12568,1029,-17.973489809641237,0.01686945670098498,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6932,1419.9883,31077.33008,25330.45704,20465.3728,16457.429,40317.21147,3453,0,71888,18320.013,15867,7155,1422,-21.34408548596829,0.048033051413309595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2934,7264.8722,31236.38727,59566.222270000006,37264.8832,47374.5163,16084.3149,1315,19,26724,,2043,12560,1158,-36.63469673556122,0.04920670558299656,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6457,8245.3336,23053.09506,41601.688839999995,24918.0567,35670.1034,39425.13801,4375,0,43079,20164.27,18178,16549,1747,13.215100829504545,0.1015576034726897,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3538,6810.4909,29508.61301,30700.26088,39867.0756,15036.5343,31939.2635,3523,3,61074,,24271,14340,1287,-26.114846508846327,0.05768412090251171,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,4220,5174.1181,42548.1327,1158.53191,32836.9822,31952.9862,28996.55304,4081,16,18195,20801.314,8630,11631,1668,-2.9635977751034237,0.22429238801868645,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3880,6087.8133,22783.51069,61009.10687,27616.6116,33642.7924,45961.08692,946,4,63785,31741.542,27840,16539,1302,39.96104487756261,0.014831073136317315,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,6198,5946.0008,11507.64982,20202.6987,64762.032,34222.413,30045.73805,2291,15,46970,16923.775,26202,17732,1268,-125.35317700657863,0.04877581434958484,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4196,2775.1451,32302.63439,32858.73546,37474.7959,45245.674000000006,28012.536460000003,3998,12,67087,37514.074,30488,7470,1285,-2.048353847414464,0.05959425820203616,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,3302,17635.0669,5555.70787,28465.63883,52281.3214,47970.8062,27288.46758,2536,2,61122,24855.238999999998,17560,12578,1496,12.016311450020778,0.04149078891397533,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,6369,15602.9341,15419.867069999998,54300.414229999995,44992.3734,49742.0697,24308.747030000002,3113,13,25590,27806.327,27421,8531,1150,-23.559896463503488,0.12164908167252833,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,5449,2404.9833,1082.0800199999999,12070.31357,54325.7583,50513.4697,39480.6263,1969,7,6866,19479.881999999998,31652,7009,1375,-50.04971048325461,0.2867754150888436,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,4700,15277.979,19039.60944,46993.45042,39914.7981,48466.9494,12819.46649,4360,6,38286,27608.405,16598,11002,1336,-20.455128963532893,0.11387974716606593,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5778,16260.8649,6863.210859999999,22545.031730000002,42123.1444,43988.4625,25377.852590000002,4518,18,37406,30234.956000000002,18073,23120,1629,32.7067145574303,0.12078276212372346,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,4075,10375.362,19333.21904,10104.78962,43595.494000000006,42840.3397,31829.998560000004,3299,18,64614,32627.418999999998,6370,16791,1707,48.58377796374014,0.051057046460519395,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,3529,2522.0625,9989.17539,43944.46335,33639.4788,47723.5363,38378.88499,3624,1,55500,30119.947999999997,2428,16196,1438,-3.9923702692691823,0.0652972972972973,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,5951,13638.6865,36623.35612,45151.45839,36941.7742,28428.4824,24378.53364,4398,12,34511,26553.53,21354,15191,819,-20.35952249584735,0.12743762858219118,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,5967,8445.7701,29898.847319999997,24940.48545,30701.1708,31265.4876,16527.56011,4614,18,56194,27916.821,14568,13133,1071,-10.925120698485568,0.08210841015054988,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,6946,12195.0583,21531.96746,42886.15598,44741.9671,30757.5382,29900.81582,3141,18,51390,27211.417999999998,28723,10901,1745,234.53007812913276,0.06112084063047286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,5222,10251.6401,34299.38736,11460.03127,67416.7526,29509.3322,35549.10915,4702,3,40843,27097.886000000002,3341,19833,1141,-9.960090413106325,0.1151237666185148,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,4611,1355.7244,27982.06906,18401.165390000002,56651.5099,53717.2521,19754.42471,1338,0,43261,24853.007999999998,34461,16474,1339,-34.372551823365804,0.03092854996417096,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,5062,9980.9078,30148.93507,8660.6378,52680.8859,27886.7585,49496.604889999995,2887,15,25980,22224.199,17133,22495,1566,15.607453555784552,0.1111239414934565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,4891,2851.8781,7877.218309999999,56725.93683,47156.8691,35350.1211,42344.59643,2177,2,41737,23669.787,28773,6880,946,-32.72104139644623,0.05215995399765196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,2887,11527.9847,6327.18719,40335.08803,20339.7865,48047.4875,17949.24565,1296,2,40179,27907.0,13376,24649,1726,29.529924263029734,0.032255655939669975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3730,1979.5627,12662.845440000001,52555.54579,28819.7362,27496.3978,43975.700260000005,1238,19,26437,31213.522999999997,17611,10833,1181,-18.885321826702143,0.046828308809622875,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,6832,15250.4318,40042.24114,7827.1815799999995,26388.332000000002,36436.5512,23699.26215,2633,8,41533,18955.263,10571,15675,1199,-14.946671991262484,0.06339537235451329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,7088,11166.718,38367.703460000004,22055.459,44041.8314,46595.1412,11195.70388,1595,6,33596,27929.88,32135,16255,1386,-10.036558217709402,0.047475889986903205,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,5039,16038.6299,19449.349459999998,43224.78165,48934.0235,50980.8415,24967.61421,1671,1,47135,,1476,25714,978,-30.574626934711226,0.03545136310597221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,3677,5401.6685,41503.263360000004,37046.32292,39584.5572,40727.5013,40043.898760000004,4746,6,65456,30431.611,2935,19186,776,-18.562668942678933,0.07250672207284282,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6907,2633.8337,24770.73515,13285.57122,38664.4386,38894.3742,40242.81925,4931,5,24934,35563.316,32497,8908,1197,3.608983697796425,0.19776209192267585,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,7873,8750.9505,25567.377269999997,43398.10599,28523.0865,15969.943000000001,28050.710939999997,3731,9,52302,14429.077,20461,19818,1338,20.358842983062512,0.07133570417957248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,6770,13597.9977,23083.35628,37802.14674,52242.7218,31001.7082,19114.59885,1804,10,62589,26092.101000000002,28385,12571,1441,9.635946389296087,0.02882295611049865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,3809,13500.4273,4922.12845,6017.3504299999995,77210.071,45598.7879,41570.61327,3613,6,48163,26466.675,8389,21155,1039,-18.003564333698932,0.07501609119033283,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,5638,3688.9001,28592.45733,39436.902010000005,41088.6849,58335.5052,32295.705210000004,4350,14,30824,30682.897,19207,18357,1558,36.9784979593738,0.14112379963664676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,5069,2146.1286,5098.92358,56723.5616,50963.1951,44997.6259,26415.91046,1206,8,40344,,29874,12903,1359,-24.989596780837108,0.029892920880428317,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,8592,16022.4987,2242.30447,46090.7012,36186.1382,25500.8679,27882.921260000003,3797,6,20457,30789.802000000003,28311,13502,920,-13.963777806770134,0.18560883805054504,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,5048,14614.5105,17166.60364,61221.84025,37298.5362,29245.4122,5640.14246,2832,11,43634,28174.652000000002,27263,21562,927,-19.082141070486323,0.06490351560709538,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,4443,1891.4498,39168.8172,43325.878039999996,46528.5668,38336.0338,29665.750389999997,4839,10,18974,14602.767,8736,13009,1100,-82.92950898090095,0.2550332033308738,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,5425,17266.628,31198.931569999997,56584.819639999994,31864.3978,50338.6316,44554.12134,3806,13,32515,18502.251,24054,21233,1282,24.43704816904961,0.11705366753805936,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,6166,12469.8189,10778.2027,5201.79515,21256.1705,43704.0825,36653.599480000004,690,14,64761,31106.88,31611,17167,992,26.839751053203486,0.010654560615185065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,5125,5684.3823,8305.666729999999,28468.18088,49313.0868,62908.5807,33355.90623,2464,13,26204,,11796,20263,1468,20.046465978852588,0.09403144558082735,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,5392,16882.3319,1765.1404300000002,13304.12565,62504.2527,32982.8974,34405.37935,2275,4,58152,25049.714,28845,10867,1578,29.49523641173811,0.03912161232631724,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3247,2305.0946,15789.8409,15101.7153,41193.7407,28819.1942,24537.78542,2114,16,59418,25534.171000000002,6342,19300,1024,-26.395664207632922,0.03557844424248544,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,3888,11912.1371,44162.65919,38262.73665,43595.2663,38058.6153,41278.81171,1087,9,63012,26701.917,19840,8911,909,-8.597435222896207,0.01725068240969974,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,3477,5614.5749,9596.99192,34283.58576,57018.3766,41141.8784,41602.09645,1959,11,49039,33112.097,24492,13658,1334,1.7156547954047667,0.03994779665164461,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,3904,15061.6223,12598.120809999999,7856.74656,40098.0259,48754.6094,45847.28895,1750,12,60071,17357.909,9481,17876,1345,14.419260817901057,0.029132193570941052,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,4592,9818.6628,34845.17105,24234.63117,45369.4414,19897.5533,26706.159480000002,4481,12,66577,18680.692,27651,18796,1652,39.046457559101455,0.06730552593237905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,5457,5794.3421,24026.43098,18227.57862,41867.2546,45005.4974,29107.412999999997,2022,14,58192,28537.327999999998,28175,14181,1426,-16.028291620662085,0.03474704426725323,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,4172,11040.3487,18781.27707,31959.74538,46668.3184,32757.5413,31096.655689999996,1415,10,36253,17603.394,18163,13799,941,-53.778351616869905,0.03903125258599288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,5333,1224.0522,27015.30702,26400.12846,50485.1229,34668.1407,25254.564,3795,18,56463,25787.734,18967,6938,1568,-7.275132308276353,0.06721215663354763,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,4273,10289.8089,16320.974740000001,50542.07917,50569.1066,32586.5741,19111.07811,880,12,48856,33232.096,27197,18488,1333,5.975901024740695,0.018012117242508598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,5744,9335.9855,14237.72693,54142.5362,24649.1062,31633.6695,36440.93569,3734,9,26192,24150.572,11887,11589,1528,-12.04098961959114,0.14256261453879046,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,3702,7588.8867,14928.87519,11608.92195,34964.099,45047.8635,22936.83795,1736,12,26999,28582.722,4530,16684,1667,-11.548552698918336,0.06429867772880477,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,3661,15112.9391,7224.268,47000.90361,53951.1102,27002.625,22115.82551,3145,8,37986,22447.84,1354,17914,1533,-14.227211886536551,0.08279366082240826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
